2026-03-04 18:27:55.117 | INFO | Thread:14 | Executing TestCase:  - 
2026-03-04 18:27:55.123 | INFO | Thread:14 | Navigating to Login page
2026-03-04 18:27:55.141 | INFO | Thread:14 | Navigating to: https://automationexercise.com//login
2026-03-04 18:27:56.979 | INFO | Thread:16 | Performing login
2026-03-04 18:27:56.980 | DEBUG | Thread:16 | Entering username: Test@gmail.com
2026-03-04 18:27:56.981 | DEBUG | Thread:16 | Filling: //input[@data-qa='login-email'] with Test@gmail.com
2026-03-04 18:27:57.028 | DEBUG | Thread:17 | Entering password
2026-03-04 18:27:57.029 | DEBUG | Thread:17 | Filling: //input[@data-qa='login-password'] with Test@123
2026-03-04 18:27:57.053 | DEBUG | Thread:15 | Clicking Login button
2026-03-04 18:27:57.055 | DEBUG | Thread:15 | Clicking: //button[@data-qa='login-button']
2026-03-04 18:27:57.466 | INFO | Thread:15 | Capturing screenshot: LoginPage
