2026-03-04 18:24:57.958 | INFO | Thread:14 | Executing TestCase:  - 
2026-03-04 18:24:57.961 | INFO | Thread:14 | Navigating to Login page
2026-03-04 18:24:57.970 | INFO | Thread:14 | Navigating to: https://automationexercise.com//login
2026-03-04 18:24:58.849 | INFO | Thread:7 | Performing login
2026-03-04 18:24:58.850 | DEBUG | Thread:7 | Entering username: Test@gmail.com
2026-03-04 18:24:58.851 | DEBUG | Thread:7 | Filling: //input[@data-qa='login-email'] with Test@gmail.com
2026-03-04 18:24:58.893 | DEBUG | Thread:18 | Entering password
2026-03-04 18:24:58.894 | DEBUG | Thread:18 | Filling: //input[@data-qa='login-password'] with Test@123
2026-03-04 18:24:58.910 | DEBUG | Thread:7 | Clicking Login button
2026-03-04 18:24:58.911 | DEBUG | Thread:7 | Clicking: //button[@data-qa='login-button']
2026-03-04 18:24:59.300 | INFO | Thread:10 | Capturing screenshot: LoginPage
